"cKey","gKey","cURL","cName","Order"
"C202000010","10","../office/office_0001.html","엑셀 셀","0"
"C202000020","10","../office/office_0008.html","엑셀 수식","10"
"C202000030","10","../office/office_0002.html","HWP","20"
"C202000040","10","../office/office_0003.html","3벌식","30"
"C202000050","10","../office/office_0004.html","파워포인트","40"
"C202000060","10","../office/office_0005.html","Sticky Notes","50"
"C202000070","10","../office/office_0006.html","윈도우","60"
"C202000080","10","T메롱","","69"
"C202000090","10","../office/office_0007.html","맥OS","70"
"C202000100","11","./conhtml/mpb_0001.html","인공지능의 역사","80"
"C202000110","11","./conhtml/mpb_0002.html","인공지능의 요소기술","90"
"C202000120","28","./conhtml/C2409291.html","MY PGM ","91"
"C202000130","28","./conhtml/C0000001.html","안과","92"
"C202000140","28","./conhtml/C0000002.html","노인내과","93"
"C202000150","28","./conhtml/C0000003.html","한국의 잃어버릴 30년 (박석중)","94"
"C202000160","28","./conhtml/C2409141.html","금투세 유예 외치는 이유 (이언주)","95"
"C202000170","28","./conhtml/C2409181.html","중국 디플레이션 (안유화_815머니톡)","96"
"C202000180","28","../eco/eco_0100.html","연준_몸과 마음이 따로 노는 이유 (문홍철_연합뉴스_20240126)","97"
"C202000190","28","../docu/docu_0016.html","Doc0016. 이렇게 계획 세우면 저절로 부지런해집니다. (삼프로 _ 김결일의 지혜의 밤 11화)","98"
"C202000200","28","../docu/docu_0011.html","Doc0011. 메가스터디 _ 손주은 _ 삼프로TV","99"
"C202000210","28","../docu/docu_0012.html","Doc0012. KBS 새해맞이 특별강연. 문화심리학자 김정운","100"
"C202000220","28","../docu/docu_0013.html","Doc0013. 2023.08 유튜브","101"
"C202000230","28","../docu/docu_0014.html","Doc0014. 2023.09 유튜브","102"
"C202000240","28","../docu/docu_0015.html","Doc0015. ChatGPT 관련 강의 : 인문학","103"
"C202000250","28","../docu/docu_0001.html","Doc0001. 다이어트 혁명 (EBS 다큐프라임)","104"
"C202000260","28","../docu/docu_0002.html","Doc0002. 시험 (EBS 다큐프라임) (18.06.06)","105"
"C202000270","28","../docu/docu_0005.html","Doc0005. 대통령은 누구인가 (EBS 다큐프라임) (17.06.29)","106"
"C202000280","28","../docu/docu_0006.html","Doc0006. 2017 시대탐구 청년 평범하고 싶다 (EBS 다큐프라임) (17.05.01)","107"
"C202000290","28","../docu/docu_0007.html","Doc0007. 100세 쇼크 (EBS 다큐프라임) (17.08.31)","108"
"C202000300","28","../docu/docu_0008.html","Doc0008. 언어발달의 수수께끼 (EBS 다큐프라임) (14.03.23)","109"
"C202000310","28","../docu/docu_0009.html","Doc0009. 거대한 균열 (2022 KBS신년특집) (22.01.10)","110"
"C202000320","28","../news/news_0010.html","News0010. 등대공장","110"
"C202000330","28","../news/news_0001.html","News0001. 자바전쟁","111"
"C202000340","28","../news/news_0002.html","News0002. AI와 암묵지","112"
"C202000350","28","../news/news_0003.html","News0003. 코털","113"
"C202000360","28","../news/news_0004.html","News0004. 짐로저스","114"
"C202000370","28","../news/news_0005.html","News0005. 하버드생 달력","115"
"C202000380","28","../news/news_0006.html","News0006. 인도인구","116"
"C202000390","28","../news/news_0007.html","News0007. 저물가종료","117"
"C202000400","28","../news/news_0008.html","News0008. 셧다운제","118"
"C202000410","28","../news/news_0009.html","News0009. 그린플레이션","119"
"C202000420","28","../news/news_0011.html","News0011. 자산거품","121"
"C202000430","28","../news/news_0012.html","News0012. 가계부채:금융안정보고서(21.9)","122"
"C202000440","28","../news/news_0013.html","News0013. 인증서","123"
"C202000450","28","../etc/etc_7004.html","Etc7004. 내부회계","124"
"C202000460","28","../etc/etc_8001.html","Etc8001. 리더진단","125"
"C202000470","28","../etc/etc_8002.html","Etc8002. 필수교육","126"
"C202000480","28","../etc/etc_8003.html","Etc8003. 안전","127"
"C202000490","28","../etc/etc_9003.html","Etc9003. FP","128"
"C202000500","28","../etc/etc_9004.html","Etc9004. KUDU","129"
"C202000510","28","../etc/etc_9005.html","Etc9005. P2E","130"
"C202000520","28","../etc/etc_9006.html","Etc9006. 개인정보","131"
"C202000530","27","./pyhtml/my_pysource.html","MY Python Source","140"
"C202000540","11","A0000001","파이썬 프로그래밍 기초","141"
"C202000550","11","A0000002","변수 및 연산자","142"
"C202000560","11","A0000003","데이터타입","143"
"C202000570","11","A0000004","기본제어구조(선택 및 반복)","144"
"C202000580","11","A0000006","리스트","145"
"C202000590","11","A0000007","튜플 / 딕셔너리","150"
"C202000600","11","A0000008","함수 1","160"
"C202000610","11","A0000009","함수 2","170"
"C202000620","11","A0000011","모듈_패키지","180"
"C202000630","11","A0000012","tkinter 1","190"
"C202000640","11","A0000014","tkinter 2 (미작성)","200"
"C202000650","11","A0000016","파일 1","210"
"C202000660","11","A0000017","파일 2","220"
"C202000670","11","A0000018","객체지향 1","230"
"C202000680","11","A0000019","객체지향 2","240"
"C202000690","11","A0000020","객체지향 3","250"
"C202000700","11","A0000015","인공지능 기초","260"
"C202000710","11","A0000021","Numpy 1","270"
"C202000720","11","A0000022","Numpy 2","280"
"C202000730","11","A0000023","Pandas","290"
"C202000740","11","A0000025","Matplotlib","300"
"C202000750","11","../study/study_0071.html","파이썬 수강","310"
"C202000760","11","../study/study_0072.html","비전공자를 위한 첫 코딩 챌린지","320"
"C202000770","11","A0000005","주요 함수","330"
"C202000780","11","A0000010","주의사항","340"
"C202000790","11","A0000013","DeBug","350"
"C202000800","12","B0000001","같이살자 우리모두","360"
"C202000810","12","B0000002","당신도 빅뱅을 믿나요","370"
"C202000820","12","B0000003","DNA의 배신_암","380"
"C202000830","12","B0000004","지구가 찿는 것도 한계가 있다","390"
"C202000840","12","B0000005","삶의 지혜를 죽음에게 묻다 (강의)","391"
"C202000850","12","B0000006","진정한 행복의 7가지 조건 (강의)","392"
"C202000860","13","../book/book_0118.html","118. 무조건 당신편","400"
"C202000870","13","../book/book_0113.html","113. 마음 실험실","410"
"C202000880","13","../book/book_0108.html","108. 서른살이 심리학에게 묻다","420"
"C202000890","13","../book/book_0102.html","102. 자제력 수업","430"
"C202000900","13","../book/book_0095.html","095. 자존감의 여섯 기둥","440"
"C202000910","13","../book/book_0027.html","027. 욱하는 성질 죽이기","450"
"C202000920","13","../book/book_0026.html","026. 백곰 심리학","460"
"C202000930","13","../book/book_0019.html","019. 가족의 두 얼굴","470"
"C202000940","14","../book/book_0126.html","126. 중학생 필독 시","480"
"C202000950","14","../book/book_0122.html","122. 꼭 읽어야 할 시 369 (윤동주)","490"
"C202000960","14","../book/book_0054.html","054. 백석 _ 외롭고 높고 쓸쓸한","500"
"C202000970","14","../book/book_0049.html","049. 난 빨강","510"
"C202000980","15","../big/big_0001.html","01. 데이터의 이해","520"
"C202000990","15","../big/big_0002.html","02. 데이터 분석 기획","530"
"C202001000","15","../big/big_0003.html","03. 데이터분석개요","540"
"C202001010","15","../big/big_0004.html","04. 데이터마트","550"
"C202001020","15","../big/big_0005.html","05. 기초 통계","560"
"C202001030","15","../big/big_0006.html","06. 가설검정_확률","570"
"C202001040","15","../big/big_0007.html","07. 통계적 분석방법","580"
"C202001050","15","../big/big_0008.html","08. 분류분석","590"
"C202001060","15","../big/big_0009.html","09. 군집 _ 연관분석","600"
"C202001070","15","../big/big_0010.html","10. 비정형데이터마이닝","610"
"C202001080","16","../docu/docu_0017.html","삶의 지혜를 죽음에게 묻다 (듣고)","620"
"C202001090","16","B0000005","삶의 지혜를 죽음에게 묻다 (자료)","630"
"C202001100","16","../book/book_0076.html","076. 타나토노트 2 (소설)","640"
"C202001110","16","../book/book_0075.html","075. 타나토노트 1 (소설)","650"
"C202001120","16","../book/book_0059.html","059. 아버지는 그렇게 작아져간다","660"
"C202001130","17","../book/book_0136.html","136. 주식투자 ETF로 시작하라 (작성중)","667"
"C202001140","17","../book/book_0135.html","135. 수학의 힘 (작성중)","668"
"C202001150","17","../book/book_0134.html","134. 미술관 출입증 (작성중)","669"
"C202001160","17","../book/book_0133.html","133. 알고 가면 미술관엔 그림이 있다","670"
"C202001170","17","../book/book_0132.html","132. 더 플로","680"
"C202001180","17","../book/book_0131.html","131. 격차사회","690"
