sName,Date,Price
KOSPI,2024.07.19,"2,795.46"
KOSPI,2024.07.18,"2,824.35"
KOSPI,2024.07.17,"2,843.29"
KOSPI,2024.07.16,"2,866.09"
KOSPI,2024.07.15,"2,860.92"
KOSPI,2024.07.12,"2,857.00"
KOSPI,2024.07.11,"2,891.35"
KOSPI,2024.07.10,"2,867.99"
KOSPI,2024.07.09,"2,867.38"
KOSPI,2024.07.08,"2,857.76"
KOSPI,2024.07.05,"2,862.23"
KOSPI,2024.07.04,"2,824.94"
KOSPI,2024.07.03,"2,794.01"
KOSPI,2024.07.02,"2,780.86"
KOSPI,2024.07.01,"2,804.31"
KOSPI,2024.06.28,"2,797.82"
KOSPI,2024.06.27,"2,784.06"
KOSPI,2024.06.26,"2,792.05"
KOSPI,2024.06.25,"2,774.39"
KOSPI,2024.06.24,"2,764.73"
KOSPI,2024.06.21,"2,784.26"
KOSPI,2024.06.20,"2,807.63"
KOSPI,2024.06.19,"2,797.33"
KOSPI,2024.06.18,"2,763.92"
KOSPI,2024.06.17,"2,744.10"
KOSPI,2024.06.14,"2,758.42"
KOSPI,2024.06.13,"2,754.89"
KOSPI,2024.06.12,"2,728.17"
KOSPI,2024.06.11,"2,705.32"
KOSPI,2024.06.10,"2,701.17"
KOSPI,2024.06.07,"2,722.67"
KOSPI,2024.06.05,"2,689.50"
KOSPI,2024.06.04,"2,662.10"
KOSPI,2024.06.03,"2,682.52"
KOSPI,2024.05.31,"2,636.52"
KOSPI,2024.05.30,"2,635.44"
KOSPI,2024.05.29,"2,677.30"
KOSPI,2024.05.28,"2,722.85"
KOSPI,2024.05.27,"2,722.99"
KOSPI,2024.05.24,"2,687.60"
KOSPI,2024.05.23,"2,721.81"
KOSPI,2024.05.22,"2,723.46"
KOSPI,2024.05.21,"2,724.18"
KOSPI,2024.05.20,"2,742.14"
KOSPI,2024.05.17,"2,724.62"
KOSPI,2024.05.16,"2,753.00"
KOSPI,2024.05.14,"2,730.34"
KOSPI,2024.05.13,"2,727.21"
KOSPI,2024.05.10,"2,727.63"
KOSPI,2024.05.09,"2,712.14"
KOSPI,2024.05.08,"2,745.05"
KOSPI,2024.05.07,"2,734.36"
KOSPI,2024.05.03,"2,676.63"
KOSPI,2024.05.02,"2,683.65"
KOSPI,2024.04.30,"2,692.06"
KOSPI,2024.04.29,"2,687.44"
KOSPI,2024.04.26,"2,656.33"
KOSPI,2024.04.25,"2,628.62"
KOSPI,2024.04.24,"2,675.75"
KOSPI,2024.04.23,"2,623.02"
KOSPI,2024.04.22,"2,629.44"
KOSPI,2024.04.19,"2,591.86"
KOSPI,2024.04.18,"2,634.70"
KOSPI,2024.04.17,"2,584.18"
KOSPI,2024.04.16,"2,609.63"
KOSPI,2024.04.15,"2,670.43"
KOSPI,2024.04.12,"2,681.82"
KOSPI,2024.04.11,"2,706.96"
KOSPI,2024.04.09,"2,705.16"
KOSPI,2024.04.08,"2,717.65"
KOSPI,2024.04.05,"2,714.21"
KOSPI,2024.04.04,"2,742.00"
KOSPI,2024.04.03,"2,706.97"
KOSPI,2024.04.02,"2,753.16"
KOSPI,2024.04.01,"2,747.86"
KOSPI,2024.03.29,"2,746.63"
KOSPI,2024.03.28,"2,745.82"
KOSPI,2024.03.27,"2,755.11"
KOSPI,2024.03.26,"2,757.09"
KOSPI,2024.03.25,"2,737.57"
KOSPI,2024.03.22,"2,748.56"
KOSPI,2024.03.21,"2,754.86"
KOSPI,2024.03.20,"2,690.14"
KOSPI,2024.03.19,"2,656.17"
KOSPI,2024.03.18,"2,685.84"
KOSPI,2024.03.15,"2,666.84"
KOSPI,2024.03.14,"2,718.76"
KOSPI,2024.03.13,"2,693.57"
KOSPI,2024.03.12,"2,681.81"
KOSPI,2024.03.11,"2,659.84"
KOSPI,2024.03.08,"2,680.35"
KOSPI,2024.03.07,"2,647.62"
KOSPI,2024.03.06,"2,641.49"
KOSPI,2024.03.05,"2,649.40"
KOSPI,2024.03.04,"2,674.27"
KOSPI,2024.02.29,"2,642.36"
KOSPI,2024.02.28,"2,652.29"
KOSPI,2024.02.27,"2,625.05"
KOSPI,2024.02.26,"2,647.08"
KOSPI,2024.02.23,"2,667.70"
KOSPI,2024.02.22,"2,664.27"
KOSPI,2024.02.21,"2,653.31"
KOSPI,2024.02.20,"2,657.79"
KOSPI,2024.02.19,"2,680.26"
KOSPI,2024.02.16,"2,648.76"
KOSPI,2024.02.15,"2,613.80"
KOSPI,2024.02.14,"2,620.42"
KOSPI,2024.02.13,"2,649.64"
KOSPI,2024.02.08,"2,620.32"
KOSPI,2024.02.07,"2,609.58"
KOSPI,2024.02.06,"2,576.20"
KOSPI,2024.02.05,"2,591.31"
KOSPI,2024.02.02,"2,615.31"
KOSPI,2024.02.01,"2,542.46"
KOSPI,2024.01.31,"2,497.09"
KOSPI,2024.01.30,"2,498.81"
KOSPI,2024.01.29,"2,500.65"
KOSPI,2024.01.26,"2,478.56"
KOSPI,2024.01.25,"2,470.34"
KOSPI,2024.01.24,"2,469.69"
KOSPI,2024.01.23,"2,478.61"
KOSPI,2024.01.22,"2,464.35"
KOSPI,2024.01.19,"2,472.74"
KOSPI,2024.01.18,"2,440.04"
KOSPI,2024.01.17,"2,435.90"
KOSPI,2024.01.16,"2,497.59"
KOSPI,2024.01.15,"2,525.99"
KOSPI,2024.01.12,"2,525.05"
KOSPI,2024.01.11,"2,540.27"
KOSPI,2024.01.10,"2,541.98"
KOSPI,2024.01.09,"2,561.24"
KOSPI,2024.01.08,"2,567.82"
KOSPI,2024.01.05,"2,578.08"
KOSPI,2024.01.04,"2,587.02"
KOSPI,2024.01.03,"2,607.31"
KOSPI,2024.01.02,"2,669.81"
KOSPI,2023.12.28,"2,655.28"
KOSPI,2023.12.27,"2,613.50"
KOSPI,2023.12.26,"2,602.59"
KOSPI,2023.12.22,"2,599.51"
KOSPI,2023.12.21,"2,600.02"
KOSPI,2023.12.20,"2,614.30"
KOSPI,2023.12.19,"2,568.55"
KOSPI,2023.12.18,"2,566.86"
KOSPI,2023.12.15,"2,563.56"
KOSPI,2023.12.14,"2,544.18"
