"gKey","cKey"
"GG10","CC202000010"
"GG10","CC202000020"
"GG10","CC202000030"
"GG10","CC202000040"
"GG10","CC202000050"
"GG10","CC202000060"
"GG10","CC202000070"
"GG10","CC202000090"
"GG11","CC202000100"
"GG11","CC202000110"
"GG28","CC202000120"
"GG28","CC202000130"
"GG28","CC202000140"
"GG28","CC202000150"
"GG28","CC202000160"
"GG28","CC202000170"
"GG28","CC202000180"
"GG28","CC202000190"
"GG28","CC202000200"
"GG28","CC202000210"
"GG28","CC202000220"
"GG28","CC202000230"
"GG28","CC202000240"
"GG28","CC202000250"
"GG28","CC202000260"
"GG28","CC202000270"
"GG28","CC202000280"
"GG28","CC202000290"
"GG28","CC202000300"
"GG28","CC202000310"
"GG28","CC202000320"
"GG28","CC202000330"
"GG28","CC202000340"
"GG28","CC202000350"
"GG28","CC202000360"
"GG28","CC202000370"
"GG28","CC202000380"
"GG28","CC202000390"
"GG28","CC202000400"
"GG28","CC202000410"
"GG28","CC202000420"
"GG28","CC202000430"
"GG28","CC202000440"
"GG28","CC202000450"
"GG28","CC202000460"
"GG28","CC202000470"
"GG28","CC202000480"
"GG28","CC202000490"
"GG28","CC202000500"
"GG28","CC202000510"
"GG28","CC202000520"
"GG27","CC202000530"
"GG11","CC202000540"
"GG11","CC202000550"
"GG11","CC202000560"
"GG11","CC202000570"
"GG11","CC202000580"
"GG11","CC202000590"
"GG11","CC202000600"
"GG11","CC202000610"
"GG11","CC202000620"
"GG11","CC202000630"
"GG11","CC202000640"
"GG11","CC202000650"
"GG11","CC202000660"
"GG11","CC202000670"
"GG11","CC202000680"
"GG11","CC202000690"
"GG11","CC202000700"
"GG11","CC202000710"
"GG11","CC202000720"
"GG11","CC202000730"
"GG11","CC202000740"
"GG11","CC202000750"
"GG11","CC202000760"
"GG11","CC202000770"
"GG11","CC202000780"
"GG11","CC202000790"
"GG12","CC202000800"
"GG12","CC202000810"
"GG12","CC202000820"
"GG12","CC202000830"
"GG12","CC202000840"
"GG12","CC202000850"
"GG13","CC202000860"
"GG13","CC202000870"
"GG13","CC202000880"
"GG13","CC202000890"
"GG13","CC202000900"
"GG13","CC202000910"
"GG13","CC202000920"
"GG13","CC202000930"
"GG14","CC202000940"
"GG14","CC202000950"
"GG14","CC202000960"
"GG14","CC202000970"
"GG15","CC202000980"
"GG15","CC202000990"
"GG15","CC202001000"
"GG15","CC202001010"
"GG15","CC202001020"
"GG15","CC202001030"
"GG15","CC202001040"
"GG15","CC202001050"
"GG15","CC202001060"
"GG15","CC202001070"
"GG16","CC202001080"
"GG16","CC202001090"
"GG16","CC202001100"
"GG16","CC202001110"
"GG16","CC202001120"
"GG17","CGB4"
"GG18","CC202001210"
"GG18","CC202001220"
"GG18","CC202001230"
"GG18","CC202001240"
"GG18","CC202001250"
"GG18","CC202001260"
"GG18","CC202001270"
"GG18","CC202001280"
"GG18","CC202001290"
"GG18","CC202001300"
"GG18","CC202001310"
"GG18","CC202001320"
"GG18","CC202001330"
"GG19","CGB4"
"GG19","CC202001480"
"GG19","CC202001500"
"GG19","CC202001510"
"GG19","CC202001520"
"GG19","CC202001530"
"GG19","CC202001540"
"GG19","CC202001550"
"GG19","CC202001560"
"GG19","CC202001570"
"GG19","CC202001580"
"GG19","CC202001590"
"GG19","CC202001600"
"GG19","CC202001620"
"GG19","CC202001630"
"GG19","CC202001640"
"GG19","CC202001650"
"GG19","CC202001660"
"GG19","CC202001670"
"GG26","CC202001680"
"GG19","CC202001690"
"GG19","CC202001700"
"GG19","CC202001710"
"GG19","CC202001720"
"GG19","CC202001730"
"GG19","CC202001740"
"GG19","CC202001750"
"GG19","CC202001760"
"GG19","CC202001770"
"GG19","CC202001780"
"GG19","CC202001790"
"GG19","CC202001800"
"GG19","CC202001810"
"GG19","CC202001820"
"GG19","CC202001830"
"GG26","CC202001840"
"GG19","CC202001850"
"GG19","CC202001860"
"GG19","CC202001870"
"GG19","CC202001880"
"GG19","CC202001890"
"GG19","CC202001900"
"GG19","CC202001910"
"GG19","CC202001920"
"GG19","CC202001930"
"GG19","CC202001940"
"GG19","CC202001950"
"GG19","CC202001960"
"GG19","CC202001970"
"GG19","CC202001980"
"GG19","CC202001990"
"GG19","CC202002000"
"GG19","CC202002010"
"GG19","CC202002020"
"GG19","CC202002030"
"GG19","CC202002040"
"GG19","CC202002050"
"GG13","CC202002060"
"GG19","CC202002070"
"GG19","CC202002080"
"GG19","CC202002090"
"GG19","CC202002100"
"GG19","CC202002110"
"GG19","CC202002120"
"GG19","CC202002130"
"GG19","CC202002140"
"GG19","CC202002150"
"GG19","CC202002160"
"GG19","CC202002170"
"GG19","CC202002180"
"GG19","CC202002190"
"GG19","CC202002200"
"GG19","CC202002210"
"GG19","CC202002220"
"GG19","CC202002230"
"GG13","CC202002240"
"GG19","CC202002250"
"GG19","CC202002260"
"GG19","CC202002270"
"GG19","CC202002280"
"GG19","CC202002290"
"GG19","CC202002300"
"GG19","CC202002310"
"GG19","CC202002320"
"GG19","CC202002330"
"GG19","CC202002340"
"GG19","CC202002350"
"GG19","CC202002360"
"GG19","CC202002370"
"GG19","CC202002380"
"GG19","CC202002390"
"GG19","CC202002400"
"GG19","CC202002410"
"GG19","CC202002420"
"GG19","CC202002430"
"GG19","CC202002440"
"GG19","CC202002450"
"GG19","CC202002460"
"GG19","CC202002470"
"GG19","CC202002480"
"GG19","CC202002490"
"GG19","CC202002500"
"GG19","CC202002510"
"GG19","CC202002520"
"GG19","CC202002530"
"GG19","CC202002540"
"GG19","CC202002550"
"GG19","CC202002560"
"GG19","CC202002570"
"GG19","CC202002580"
"GG19","CC202002590"
"GG19","CC202002600"
"GG19","CC202002610"
"GG19","CC202002620"
"GG19","CC202002630"
"GG19","CC202002640"
"GG19","CC202002650"
"GG19","CC202002660"
"GG19","CC202002670"
"GG19","CC202002680"
"GG19","CC202002690"
"GG19","CC202002700"
"GG19","CC202002710"
"GG20","CC202002720"
"GG20","CC202002740"
"GG20","CC202002750"
"GG20","CC202002760"
"GG20","CC202002780"
"GG20","CC202002790"
"GG20","CC202002800"
"GG20","CC202002820"
"GG20","CC202002830"
"GG20","CC202002840"
"GG20","CC202002850"
"GG20","CC202002870"
"GG20","CC202002880"
"GG20","CC202002890"
"GG20","CC202002910"
"GG20","CC202002920"
"GG20","CC202002930"
"GG20","CC202002940"
"GG20","CC202002960"
"GG20","CC202002970"
"GG20","CC202002980"
"GG21","CC202002990"
"GG21","CC202003000"
"GG21","CC202003010"
"GG21","CC202003020"
"GG21","CC202003030"
"GG21","CC202003040"
"GG21","CC202003050"
"GG21","CC202003060"
"GG21","CC202003070"
"GG21","CC202003080"
"GG21","CC202003090"
"GG21","CC202003100"
"GG21","CC202003110"
"GG21","CC202003120"
"GG21","CC202003130"
"GG22","CC202003140"
"GG22","CC202003150"
"GG22","CC202003160"
"GG22","CC202003170"
"GG22","CC202003180"
"GG22","CC202003190"
"GG22","CC202003200"
"GG22","CC202003210"
"GG22","CC202003220"
"GG22","CC202003230"
"GG22","CC202003240"
"GG22","CC202003250"
"GG22","CC202003260"
"GG22","CC202003270"
"GG22","CC202003280"
"GG22","CC202003290"
"GG23","CC202003300"
"GG23","CC202003310"
"GG23","CC202003320"
"GG23","CC202003330"
"GG23","CC202003340"
"GG23","CC202003350"
"GG23","CC202003360"
"GG23","CC202003370"
"GG23","CC202003380"
"GG24","CC202003400"
"GG24","CC202003410"
"GG24","CC202003420"
"GG24","CC202003430"
"GG24","CC202003440"
"GG24","CC202003450"
"GG24","CC202003470"
"GG24","CC202003480"
"GG24","CC202003490"
"GG24","CC202003500"
"GG24","CC202003510"
"GG24","CC202003520"
"GG24","CC202003530"
"GG24","CC202003540"
"GG24","CC202003560"
"GG24","CC202003570"
"GG24","CC202003580"
"GG24","CC202003590"
"GG24","CC202003610"
"GG24","CC202003620"
"GG24","CC202003630"
"GG24","CC202003640"
"GG24","CC202003650"
"GG25","CC202003660"
"GG25","CC202003670"
"GG25","CC202003680"
"GG25","CC202003690"
"GG25","CC202003700"
"GG25","CC202003710"
"GG25","CC202003720"
"GG25","CC202003730"
"GG25","CC202003740"
"GG25","CC202003750"
"GG29","CC202003760"
"GG29","CC202003770"
"GG29","CC202003780"
"GG29","CC202003790"
"GG29","CC202003800"
"GG29","CC202003810"
"GG29","CC202003820"
"GG29","CC202003830"
"GG29","CC202003840"
"GG29","CC202003850"
"GG29","CC202003860"
"GG29","CC202003870"
"GG29","CC202003880"
"GG29","CC202003890"
"GG29","CC202003900"
"GG29","CC202003910"
"GG29","CC202003920"
"GG29","CC202003930"
"GG29","CC202003940"
"GG29","CC202003950"
"GG29","CC202003960"
"GG29","CC202003970"
"GG29","CC202003980"
"GG29","CC202003990"
"GG29","CC202004000"
"GG29","CC202004010"
"GG29","CC202004020"
"GG29","CC202004030"
"GG29","CC202004040"
"GG29","CC202004050"
"GG29","CC202004060"
"GG30","CC202004070"
"GG30","CC202004080"
"GG30","CC202004090"
"GG30","CC202004100"
"GG30","CC202004110"
"GG30","CC202004120"
"GG30","CC202004130"
"GG30","CC202004140"
"GG30","CC202004150"
"GG30","CC202004160"
"GG30","CC202004170"
"GG30","CC202004180"
"GG30","CC202004190"
"GG30","CC202004200"
"GG30","CC202004210"
"GG30","CC202004220"
"GG30","CC202004230"
"GG31","CC202004240"
"GG31","CC202004250"
"GG31","CC202004260"
"GG31","CC202004270"
"GG31","CC202004280"
"GG31","CC202004290"
"GG31","CC202004300"
"GG31","CC202004310"
"GG31","CC202004320"
"GG31","CC202004330"
"GG31","CC202004340"
"GG31","CC202004350"
