"gKey","cKey"
"CG11","GG30"
"CG11","GG31"
"CG12","GG10"
"CG13","GG27"
"CG13","GG11"
"CG13","GG22"
"CG13","GG23"
"CG14","GG15"
"CG14","GG24"
"CG14","GG25"
"CG15","GG17"
"CG15","GG13"
"CG15","GG14"
"CG15","GG26"
"CG15","GG16"
"CG15","GG18"
"CG15","GG19"
"CG16","GG20"
"CG16","GG21"
"CG17","GG12"
"CG17","GG28"
"CG17","GG29"
"CGB4","CC202001350"
"CGB4","CC202001360"
"CGB4","CC202001370"
"CGB4","CC202001380"
"CGB4","CC202001390"
"CGB4","CC202001400"
"CGB4","CC202001420"
"CGB4","CC202001430"
"CGB4","CC202001440"
"CGB4","CC202001460"
