"gKey","cKey"
"CG11","GG30"
"CG11","GG31"
"CG11","GG34"
"CG12","GG10"
"CG13","GG27"
"CG13","GG11"
"CG13","GG22"
"CG13","GG23"
"CG14","GG15"
"CG14","GG24"
"CG14","GG25"
"CG15","GG17"
"CG15","GG13#CGBC"
"CG15","GG13#CGBB"
"CG15","GG13#CGBA"
"CG15","GG16"
"CG15","GG18"
"CG15","GG19"
"CG16","GG20"
"CG16","GG21"
"CG17","GG12"
"CG17","GG28"
"CG17","GG29"
"CG17","GG32"
"CG17","GG33"
"CG18","CC202004130"
"CG18","CC202004140"
"CG18","CC202004150"
"CG18","CC202004160"
"CG18","CC202004170"
"CG18","CC202004180"
"CG18","CC202004190"
"CG18","CC202004200"
"CG18","CC202004210"
"CGB4","CC202412291"
"CGB4","CC202411101"
"CGB4","CC202001350"
"CGB4","CC202001360"
"CGB4","CC202001370"
"CGB4","CC202001380"
"CGB4","CC202001390"
"CGB4","CC202001400"
"CGB4","CC202001420"
"CGB4","CC202001430"
"CGB4","CC202001440"
"CGB4","CC202001460"
"CGB3","CC202001210"
"CGB3","CC202001220"
"CGB3","CC202001230"
"CGB3","CC202001240"
"CGB3","CC202001250"
"CGB3","CC202001260"
"CGB3","CC202001270"
"CGB3","CC202001280"
"CGB3","CC202001290"
"CGB3","CC202001300"
"CGB3","CC202001310"
"CGB3","CC202001320"
"CGB3","CC202001330"
"CGB2","CC202001620"
"CGB2","CC202001630"
"CGB2","CC202001640"
"CGB2","CC202001650"
"CGB2","CC202001660"
"CGB2","CC202001670"
"CGB2","CC202001680"
"CGB2","CC202001700"
"CGB2","CC202001710"
"CGB2","CC202001720"
"CGB2","CC202001730"
"CGB2","CC202001740"
"CGB2","CC202001750"
"CGB2","CC202001760"
"CGB2","CC202001770"
"CGB2","CC202001780"
"CGB2","CC202001790"
"CGB2","CC202001800"
"CGB2","CC202001810"
"CGB2","CC202001820"
"CGB2","CC202001830"
"CGB2","CC202001840"
"CGB2","CC202001860"
"CGB2","CC202001870"
"CGB2","CC202001880"
"CGB2","CC202001890"
"CGB2","CC202001900"
"CGB2","CC202001910"
"CGB2","CC202001920"
"CGB2","CC202001930"
"CGB2","CC202001940"
"CGB2","CC202001950"
"CGB2","CC202001960"
"CGB2","CC202001970"
"CGB2","CC202001980"
"CGB2","CC202001990"
"CGB2","CC202002000"
"CGB2","CC202002010"
"CGB2","CC202002020"
"CGB2","CC202002030"
"CGB2","CC202002040"
"CGB2","CC202002050"
"CGB2","CC202002060"
"CGB2","CC202002080"
"CGB2","CC202002090"
"CGB2","CC202002100"
"CGB2","CC202002110"
