"gKey","cKey"
"ROOT","CG11"
"ROOT","CG12"
"ROOT","CG13"
"ROOT","CG14"
"ROOT","CG15"
"ROOT","CG16"
"ROOT","CG17"
"GG10","CC202000010"
"GG10","CC202000020"
"GG10","CC202000030"
"GG10","CC202000040"
"GG10","CC202000050"
"GG10","CC202000060"
"GG10","CC202000070"
"GG10","CC202000090"
"GG11","CC202000100"
"GG11","CC202000110"
"GG28","CC202000120"
"GG32","CC202000130"
"GG32","CC202000140"
"GG28","CC202000150"
"GG33","CC202000160"
"GG33","CC202000170"
"GG33","CC202000180"
"GG28","CC202000190"
"GG28","CC202000200"
"GG28","CC202000210"
"GG33","CC202000220"
"GG33","CC202000230"
"GG28","CC202000240"
"GG32","CC202000250"
"GG28","CC202000260"
"GG28","CC202000270"
"GG28","CC202000280"
"GG32","CC202000290"
"GG28","CC202000300"
"GG28","CC202000310"
"GG28","CC202000320"
"GG28","CC202000330"
"GG28","CC202000340"
"GG32","CC202000350"
"GG28","CC202000360"
"GG28","CC202000370"
"GG28","CC202000380"
"GG28","CC202000390"
"GG28","CC202000400"
"GG28","CC202000410"
"GG28","CC202000420"
"GG28","CC202000430"
"GG28","CC202000440"
"GG28","CC202000450"
"GG28","CC202000460"
"GG28","CC202000470"
"GG28","CC202000480"
"GG28","CC202000490"
"GG28","CC202000500"
"GG28","CC202000510"
"GG28","CC202000520"
"GG27","CC202000530"
"GG11","CC202000540"
"GG11","CC202000550"
"GG11","CC202000560"
"GG11","CC202000570"
"GG11","CC202000580"
"GG11","CC202000590"
"GG11","CC202000600"
"GG11","CC202000610"
"GG11","CC202000620"
"GG11","CC202000630"
"GG11","CC202000640"
"GG11","CC202000650"
"GG11","CC202000660"
"GG11","CC202000670"
"GG11","CC202000680"
"GG11","CC202000690"
"GG11","CC202000700"
"GG11","CC202000710"
"GG11","CC202000720"
"GG11","CC202000730"
"GG11","CC202000740"
"GG11","CC202000750"
"GG11","CC202000760"
"GG11","CC202000770"
"GG11","CC202000780"
"GG11","CC202000790"
"GG12","CC202000800"
"GG12","CC202000810"
"GG12","CC202000820"
"GG12","CC202000830"
"GG12","CC202000840"
"GG12","CC202000850"
"GG13","CGBC"
"GG13","CGBB"
"GG13","CGBA"
"GG15","CC202000980"
"GG15","CC202000990"
"GG15","CC202001000"
"GG15","CC202001010"
"GG15","CC202001020"
"GG15","CC202001030"
"GG15","CC202001040"
"GG15","CC202001050"
"GG15","CC202001060"
"GG15","CC202001070"
"GG16","CC202001080"
"GG16","CC202000840"
"GG16","CC202001990"
"GG16","CC202002000"
"GG16","CC202002170"
"GG36","CGB5"
"GG17","CGB4"
"GG18","CGB3"
"GG19","CGB5"
"GG19","CGB4"
"GG19","CGB3"
"GG19","CGB2"
"GG20","CC202002720"
"GG20","CGDA01"
"GG20","CGDA02"
"GG20","CGDA03"
"GG20","CGDA04"
"GG20","CGDA05"
"GG20","CGDA06"
"GG21","CC202002990"
"GG21","CC202003000"
"GG21","CGSW01"
"GG21","CGSW02"
"GG21","CGSW03"
"GG21","CGSW04"
"GG22","CC202003140"
"GG22","CC202003150"
"GG22","CC202003160"
"GG22","CC202003170"
"GG22","CC202003180"
"GG22","CC202003190"
"GG22","CC202003200"
"GG22","CC202003210"
"GG22","CC202003220"
"GG22","CC202003230"
"GG22","CC202003240"
"GG22","CC202003250"
"GG22","CC202003260"
"GG22","CC202003270"
"GG22","CC202003280"
"GG22","CC202003290"
"GG23","CC202003300"
"GG23","CC202003310"
"GG23","CC202003320"
"GG23","CC202003330"
"GG23","CC202003340"
"GG23","CC202003350"
"GG23","CC202003360"
"GG23","CC202003370"
"GG23","CC202003380"
"GG24","CGBig1"
"GG24","CGBig2"
"GG24","CGBig3"
"GG24","CGBig4"
"GG25","CC202003660"
"GG25","CC202003670"
"GG25","CC202003680"
"GG25","CC202003690"
"GG25","CC202003700"
"GG25","CC202003710"
"GG25","CC202003720"
"GG25","CC202003730"
"GG25","CC202003740"
"GG25","CC202003750"
"GG29","CC202003760"
"GG29","CC202003770"
"GG29","CC202003780"
"GG29","CC202003790"
"GG29","CC202003800"
"GG29","CC202003810"
"GG29","CC202003820"
"GG29","CC202003830"
"GG29","CC202003840"
"GG29","CC202003850"
"GG29","CC202003860"
"GG29","CC202003870"
"GG29","CC202003880"
"GG29","CC202003890"
"GG29","CC202003900"
"GG29","CC202003910"
"GG29","CC202003920"
"GG29","CC202003930"
"GG29","CC202003940"
"GG29","CC202003950"
"GG29","CC202003960"
"GG29","CC202003970"
"GG29","CC202003980"
"GG29","CC202003990"
"GG29","CC202004000"
"GG29","CC202004010"
"GG29","CC202004020"
"GG29","CC202004030"
"GG29","CC202004040"
"GG29","CC202004050"
"GG29","CC202004060"
"GG30","CC202004070"
"GG30","CC202004080"
"GG30","CC202004090"
"GG30","CC202411121"
"GG30","CC202004100"
"GG30","CC202004110"
"GG30","CC202004120"
"GG30","CC202004220"
"GG35","CG18"
"GG33","CC202004160"
"GG33","CC202004170"
"GG33","CC202004230"
"GG31","CC202004240"
"GG31","CC202004250"
"GG31","CC202004260"
"GG31","CC202004270"
"GG31","CC202004280"
"GG31","CC202004290"
"GG31","CC202004300"
"GG31","CC202004310"
"GG31","CC202004320"
"GG31","CC202004330"
"GG31","CC202004340"
"GG31","CC202004350"
"GG33","CC202410271"
"GG34","CC202503031"
"GG34","CC202502161"
"GG34","CC202002230"
"GG34","CC202502071"
"GG34","CC202412291"
"GG34","CC202412021"
"GG34","CC202412011"
"GG32","CC202412011"
"GG34","CC202411181"
"GG34","CC202411171"
"GG34","CC202411101"
"GG34","CC202411091"
"GG34","CC202411081"
"GG34","CC202411021"
"GG34","CC202410271"
"GG34","CC202000010"
"GG34","CC202000020"
"CG11","GG35"
"CG11","GG34"
"CG11","GG30"
"CG11","GG31"
"CG12","GG10"
"CG13","GG27"
"CG13","GG11"
"CG13","GG22"
"CG13","GG23"
"CG14","GG15"
"CG14","GG24"
"CG14","GG25"
"CG15","GG17"
"CG15","GG13#CGBC"
"CG15","GG13#CGBB"
"CG15","GG13#CGBA"
"CG15","GG16"
"CG15","GG18"
"CG15","GG19"
"CG16","GG20"
"CG16","GG21"
"CG17","GG12"
"CG17","GG28"
"CG17","GG29"
"CG17","GG32"
"CG17","GG33"
"CG18","CC202004130"
"CG18","CC202004140"
"CG18","CC202004150"
"CG18","CC202004160"
"CG18","CC202004170"
"CG18","CC202004180"
"CG18","CC202004190"
"CG18","CC202004200"
"CG18","CC202004210"
"CGB5","CC202002230"
"CGB5","CC202502071"
"CGB4","CC202412291"
"CGB4","CC202411101"
"CGB4","CC202001350"
"CGB4","CC202001360"
"CGB4","CC202001370"
"CGB4","CC202001380"
"CGB4","CC202001390"
"CGB4","CC202001400"
"CGB4","CC202001420"
"CGB4","CC202001430"
"CGB4","CC202001440"
"CGB4","CC202001460"
"CGB3","CC202001210"
"CGB3","CC202001220"
"CGB3","CC202001230"
"CGB3","CC202001240"
"CGB3","CC202001250"
"CGB3","CC202001260"
"CGB3","CC202001270"
"CGB3","CC202001280"
"CGB3","CC202001290"
"CGB3","CC202001300"
"CGB3","CC202001310"
"CGB3","CC202001320"
"CGB3","CC202001330"
"CGB2","CC202001620"
"CGB2","CC202001630"
"CGB2","CC202001640"
"CGB2","CC202001650"
"CGB2","CC202001660"
"CGB2","CC202001670"
"CGB2","CC202001680"
"CGB2","CC202001700"
"CGB2","CC202001710"
"CGB2","CC202001720"
"CGB2","CC202001730"
"CGB2","CC202001740"
"CGB2","CC202001750"
"CGB2","CC202001760"
"CGB2","CC202001770"
"CGB2","CC202001780"
"CGB2","CC202001790"
"CGB2","CC202001800"
"CGB2","CC202001810"
"CGB2","CC202001820"
"CGB2","CC202001830"
"CGB2","CC202001840"
"CGB2","CC202001860"
"CGB2","CC202001870"
"CGB2","CC202001880"
"CGB2","CC202001890"
"CGB2","CC202001900"
"CGB2","CC202001910"
"CGB2","CC202001920"
"CGB2","CC202001930"
"CGB2","CC202001940"
"CGB2","CC202001950"
"CGB2","CC202001960"
"CGB2","CC202001970"
"CGB2","CC202001980"
"CGB2","CC202001990"
"CGB2","CC202002000"
"CGB2","CC202002010"
"CGB2","CC202002020"
"CGB2","CC202002030"
"CGB2","CC202002040"
"CGB2","CC202002050"
"CGB2","CC202002060"
"CGB2","CC202002080"
"CGB2","CC202002090"
"CGB2","CC202002100"
"CGB2","CC202002110"
"CGB2","CC202002120"
"CGB2","CC202002130"
"CGB2","CC202002140"
"CGB2","CC202002150"
"CGB2","CC202002160"
"CGB2","CC202002170"
"CGB2","CC202002180"
"CGB2","CC202002190"
"CGB2","CC202002200"
"CGB2","CC202002210"
"CGB2","CC202000960"
"CGB2","CC202000970"
"CGB2","CC202002220"
"CGB2","CC202002230"
"CGB2","CC202002240"
"CGB2","CC202002260"
"CGB2","CC202002270"
"CGB2","CC202002280"
"CGB2","CC202002290"
"CGB2","CC202002300"
"CGB2","CC202002310"
"CGB2","CC202002320"
"CGB2","CC202002330"
"CGB2","CC202002340"
"CGB2","CC202002350"
"CGB2","CC202002360"
"CGB2","CC202002370"
"CGB2","CC202002380"
"CGB2","CC202002390"
"CGB2","CC202002400"
"CGB2","CC202002410"
"CGB2","CC202002420"
"CGB2","CC202002430"
"CGB2","CC202002440"
"CGB2","CC202002450"
"CGB2","CC202002460"
"CGB2","CC202002470"
"CGB2","CC202002480"
"CGB2","CC202002490"
"CGB2","CC202002500"
"CGB2","CC202002510"
"CGB2","CC202002520"
"CGB2","CC202002530"
"CGB2","CC202002540"
"CGB2","CC202002550"
"CGB2","CC202002560"
"CGB2","CC202002570"
"CGB2","CC202002580"
"CGB2","CC202002590"
"CGB2","CC202002600"
"CGB2","CC202002610"
"CGB2","CC202002620"
"CGB2","CC202002630"
"CGB2","CC202002640"
"CGB2","CC202002650"
"CGB2","CC202002660"
"CGB2","CC202002670"
"CGB2","CC202002680"
"CGB2","CC202002690"
"CGB2","CC202002700"
"CGB2","CC202002710"
"CGB2","CC202000870"
"CGB2","CC202000880"
"CGB2","CC202000890"
"CGB2","CC202000900"
"CGB2","CC202000910"
"CGB2","CC202000920"
"CGB2","CC202000930"
"CGBA","CC202001400"
"CGBA","CC202001440"
"CGBA","CC202001220"
"CGBA","CC202001680"
"CGBA","CC202001840"
"CGBB","CC202001240"
"CGBB","CC202001290"
"CGBB","CC202000960"
"CGBB","CC202000970"
"CGBC","CC202001320"
"CGBC","CC202000870"
"CGBC","CC202000880"
"CGBC","CC202000890"
"CGBC","CC202000900"
"CGBC","CC202000910"
"CGBC","CC202000920"
"CGBC","CC202000930"
"CGBC","CC202002060"
"CGBC","CC202002240"
"CGDA01","CC202002740"
"CGDA01","CC202002750"
"CGDA01","CC202002760"
"CGDA02","CC202002780"
"CGDA02","CC202002790"
"CGDA02","CC202002800"
"CGDA03","CC202002820"
"CGDA03","CC202002830"
"CGDA03","CC202002840"
"CGDA03","CC202002850"
"CGDA04","CC202002870"
"CGDA04","CC202002880"
"CGDA04","CC202002890"
"CGDA05","CC202002910"
"CGDA05","CC202002920"
"CGDA05","CC202002930"
"CGDA05","CC202002940"
"CGDA06","CC202002960"
"CGDA06","CC202002970"
"CGDA06","CC202002980"
"CGBig1","CC202003400"
"CGBig1","CC202003410"
"CGBig1","CC202003420"
"CGBig1","CC202003430"
"CGBig1","CC202003440"
"CGBig1","CC202003450"
"CGBig2","CC202003470"
"CGBig2","CC202003480"
"CGBig2","CC202003490"
"CGBig2","CC202003500"
"CGBig2","CC202003510"
"CGBig2","CC202003520"
"CGBig2","CC202003530"
"CGBig2","CC202003540"
"CGBig3","CC202003560"
"CGBig3","CC202003570"
"CGBig3","CC202003580"
"CGBig3","CC202003590"
"CGBig4","CC202003610"
"CGBig4","CC202003620"
"CGBig4","CC202003630"
"CGBig4","CC202003640"
"CGBig4","CC202003650"
"CGSW01","CC202003010"
"CGSW02","CC202003020"
"CGSW02","CC202003030"
"CGSW03","CC202003040"
"CGSW03","CC202003050"
"CGSW03","CC202003060"
"CGSW03","CC202003070"
"CGSW03","CC202003080"
"CGSW04","CC202003090"
"CGSW04","CC202003100"
"CGSW04","CC202003110"
"CGSW04","CC202003120"
"CGSW04","CC202003130"
